,full_loss,full_ppl,tian_loss,tian_ppl
0,2.3031850237595406,10.006001107599495,2.3282473463761177,10.259943638214459
1,2.202291959210446,9.0457221849144,2.222514008220873,9.2305072920276
2,2.1212002666373,8.341143077551571,2.1382673037679574,8.484723436626105
3,2.0552356682325663,7.808677913130304,2.068901871380053,7.916125419245677
4,2.0011985866647017,7.39791783275265,2.0114557492105583,7.474189977647097
5,1.9571622986542552,7.079209852010932,1.9643264130542153,7.130108224439064
6,1.922079795285275,6.835159428981832,1.926565446351704,6.865888437443429
7,1.895134078828912,6.65344043033179,1.8975090039403815,6.669260631548171
8,1.875814858235811,6.526134828974898,1.8767753149333752,6.532405909949379
9,1.8640259755285162,6.449650707907478,1.8642337071268182,6.450990643326165
10,1.860015680915431,6.423837502291971,1.8600156934637773,6.42383758290051
11,1.864437272674159,6.452303976437515,1.864577851797405,6.453211099433224
12,1.8791604543987073,6.548005204940602,1.8788355526171232,6.545878091953806
13,1.9045180396029824,6.716169919553219,1.9046878626472072,6.7173105768266925
14,1.942138904019406,6.973651000244496,1.9455721943001998,6.997634716416135
15,1.995657349887647,7.357037586549346,2.00688416079471,7.4400990415650545
16,2.0711351570330168,7.933824144369861,2.0966787777448954,8.139093236034554
17,2.179708148303785,8.843724825950128,2.230533756707844,9.304831270369649
18,2.3488058541950427,10.473055898781626,2.449813064775969,11.586180651496766
19,2.649527675227115,14.147354920855811,2.8439194403196635,17.18298139692199
20,3.21350454029284,24.86607787451818,3.522639613402517,33.87372409514398
